,Valor_Numerico,ID_Municipio,Nombre_Municipio,ID_Indicador,Nombre_Indicador,Hombres,Mujeres,Porcentaje de población con ingreso inferior a la línea de pobreza por ingresos,Porcentaje de población con ingreso inferior a la línea de pobreza extrema por ingresos,Porcentaje de personas de 15 años y más alfabetas,Grado promedio de escolaridad de la población de 15 y más años,Porcentaje de personas con rezago educativo,Promedio de alumnos inscritos por escuela de nivel preescolar,Promedio de alumnos inscritos por escuela de nivel primaria,Promedio de alumnos inscritos por escuela de nivel secundaria,Promedio de alumnos atendidos por grupo de nivel preescolar,Promedio de alumnos atendidos por grupo de nivel primaria,Promedio de alumnos atendidos por grupo de nivel secundaria,Promedio de alumnos atendidos por un maestro en el nivel preescolar,Promedio de alumnos atendidos por un maestro en el nivel primaria,Promedio de alumnos atendidos por un maestro en el nivel secundaria,Porcentaje de población en situación de pobreza,Porcentaje de población en situación de pobreza extrema,Porcentaje de población en situación de pobreza moderada,Porcentaje de población vulnerable por carencias sociales,Porcentaje de población vulnerable por ingresos,Porcentaje de población no pobre y no vulnerable,Porcentaje de población con carencia por acceso a los servicios de salud,Porcentaje de población con carencia por acceso a la seguridad social,Porcentaje de población con carencia por calidad y espacios de la vivienda,Porcentaje de población con carencia por acceso a los servicios básicos en la vivienda,Porcentaje de población con carencia por acceso a la alimentación,Porcentaje de población con al menos una carencia social,Porcentaje de población con tres o más carencias sociales
2024,,135,ID_135,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,17.0,36.0,16.0,,,,,,,,,,,,,,,,,,,
2025,,135,ID_135,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,17.0,38.0,16.0,,,,,,,,,,,,,,,,,,,
2022,,136,ID_136,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,174.6667,486.0,311.0,,,,,,,,,,,,,,,,,,,
2023,,136,ID_136,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,205.3333,498.0,294.75,,,,,,,,,,,,,,,,,,,
2024,,136,ID_136,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,199.6667,486.6667,291.0,,,,,,,,,,,,,,,,,,,
2025,,136,ID_136,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,141.0,383.5,289.75,,,,,,,,,,,,,,,,,,,
2022,,137,ID_137,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,61.1111,143.0,108.0,,,,,,,,,,,,,,,,,,,
2023,,137,ID_137,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,59.5556,145.3333,112.5,,,,,,,,,,,,,,,,,,,
2024,,137,ID_137,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,60.8889,140.5556,115.75,,,,,,,,,,,,,,,,,,,
2025,,137,ID_137,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,57.7778,142.2222,98.6,,,,,,,,,,,,,,,,,,,
2022,,138,ID_138,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,106.6,512.0,235.6667,,,,,,,,,,,,,,,,,,,
2023,,138,ID_138,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,108.2,522.3333,233.6667,,,,,,,,,,,,,,,,,,,
2024,,138,ID_138,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,109.8,527.6667,233.0,,,,,,,,,,,,,,,,,,,
2025,,138,ID_138,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,111.8,533.3333,237.3333,,,,,,,,,,,,,,,,,,,
2022,,139,ID_139,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,22.375,42.1,18.6,,,,,,,,,,,,,,,,,,,
2023,,139,ID_139,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,18.7778,42.9,19.4,,,,,,,,,,,,,,,,,,,
2024,,139,ID_139,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,19.0,43.3,22.6,,,,,,,,,,,,,,,,,,,
2025,,139,ID_139,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,19.2222,41.1,27.4,,,,,,,,,,,,,,,,,,,
2022,,140,ID_140,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,124.1714,412.1471,306.1905,,,,,,,,,,,,,,,,,,,
2023,,140,ID_140,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,127.7429,415.4412,312.0952,,,,,,,,,,,,,,,,,,,
2024,,140,ID_140,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,127.0303,412.8529,316.381,,,,,,,,,,,,,,,,,,,
2025,,140,ID_140,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,79.5,301.8333,215.0465,,,,,,,,,,,,,,,,,,,
2022,,141,ID_141,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,28.5714,57.4286,115.0,,,,,,,,,,,,,,,,,,,
2023,,141,ID_141,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,28.4286,57.8571,115.0,,,,,,,,,,,,,,,,,,,
2024,,141,ID_141,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,26.8571,58.2857,108.5,,,,,,,,,,,,,,,,,,,
2025,,141,ID_141,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,22.0,55.7143,102.5,,,,,,,,,,,,,,,,,,,
2022,,142,ID_142,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,57.3077,315.9091,255.3333,,,,,,,,,,,,,,,,,,,
2023,,142,ID_142,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,63.8462,308.5455,264.1667,,,,,,,,,,,,,,,,,,,
2024,,142,ID_142,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,61.9231,302.3636,282.1667,,,,,,,,,,,,,,,,,,,
2025,,142,ID_142,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,56.5625,269.2308,283.6667,,,,,,,,,,,,,,,,,,,
2022,,143,ID_143,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,93.3636,358.6364,228.8889,,,,,,,,,,,,,,,,,,,
2023,,143,ID_143,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,104.8182,360.5455,229.3333,,,,,,,,,,,,,,,,,,,
2024,,143,ID_143,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,102.2727,357.0909,240.4444,,,,,,,,,,,,,,,,,,,
2025,,143,ID_143,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,77.4706,288.1429,222.1,,,,,,,,,,,,,,,,,,,
2022,,144,ID_144,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,131.75,502.75,551.0,,,,,,,,,,,,,,,,,,,
2023,,144,ID_144,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,146.75,506.5,562.0,,,,,,,,,,,,,,,,,,,
2024,,144,ID_144,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,176.3333,519.0,560.0,,,,,,,,,,,,,,,,,,,
2025,,144,ID_144,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,104.8333,429.0,576.0,,,,,,,,,,,,,,,,,,,
2022,,145,ID_145,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,15.0,42.8919,41.1667,,,,,,,,,,,,,,,,,,,
2023,,145,ID_145,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,15.0909,40.9459,41.0556,,,,,,,,,,,,,,,,,,,
2024,,145,ID_145,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,15.9167,39.8649,38.0,,,,,,,,,,,,,,,,,,,
2025,,145,ID_145,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,16.1111,40.8684,38.0526,,,,,,,,,,,,,,,,,,,
2022,,146,ID_146,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,34.0,38.5,61.0,,,,,,,,,,,,,,,,,,,
2023,,146,ID_146,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,37.0,41.0,60.0,,,,,,,,,,,,,,,,,,,
2024,,146,ID_146,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,32.0,45.0,49.0,,,,,,,,,,,,,,,,,,,
2025,,146,ID_146,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,32.0,43.0,49.0,,,,,,,,,,,,,,,,,,,
2022,,147,ID_147,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,34.8889,77.5,53.8333,,,,,,,,,,,,,,,,,,,
2023,,147,ID_147,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,42.125,72.8,51.6667,,,,,,,,,,,,,,,,,,,
2024,,147,ID_147,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,39.625,70.6,53.3333,,,,,,,,,,,,,,,,,,,
2025,,147,ID_147,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,32.7778,74.2,60.8333,,,,,,,,,,,,,,,,,,,
2022,,148,ID_148,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,79.5,269.8,86.0,,,,,,,,,,,,,,,,,,,
2023,,148,ID_148,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,77.5,285.6,78.75,,,,,,,,,,,,,,,,,,,
2024,,148,ID_148,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,74.5,278.0,81.0,,,,,,,,,,,,,,,,,,,
